country,year,region,is_resource_rich,is_high_institution,is_thailand_peer,gdp_growth,manufacturing_share,services_share,agriculture_share,structural_change_velocity,human_capital_index,institutional_quality,infrastructure_index,investment_rate,trade_openness,government_expenditure,employment_manufacturing_share,employment_services_share,iv_trade_policy,iv_geography,gdp_per_capita_lag,regime,regime_label
South Korea,1980,East Asia,0,1,0,6.6986355991173605,36.58467808614284,43.267675056912694,20.14764685694447,1.1473240137604725,0.46797115881394125,1.4606960757408018,36.84862843299352,14.297233738582685,52.66075569229742,16.470136695474867,40.27236233513698,21.735712512936185,1.0915068519224618,1.246085192497629,49463.30488379593,1,High-Growth
South Korea,1981,East Asia,0,1,0,5.286119715805441,23.73990644225743,35.6661997489095,40.59389380883308,2.2211516909316575,0.8208405665135434,2.6228140717769532,65.27332642491238,25.77337651234588,21.77370571956927,14.852878402321359,21.315466413560255,25.561281591422965,0.7129984301723881,-0.24032539815813503,50337.5895962252,1,High-Growth
South Korea,1982,East Asia,0,1,0,9.143794887737789,32.11227067344736,58.91195764037098,8.975771686181652,2.1621266551997946,0.6583903410416396,2.2117215095620604,42.756803410290146,22.609064177936943,18.722160590367427,23.544162115241406,24.502291048046697,48.40156640996422,1.0490092258368893,-0.7043436905427592,49845.76935181822,1,High-Growth
South Korea,1983,East Asia,0,1,0,3.7174419932087,24.756565180029735,66.05753018381237,9.185904636157886,4.163858815767444,0.8284684552435058,1.7532209606431421,47.14930332194412,15.640647305528402,59.97840285880177,17.77419178545091,25.26804513510209,60.58361661782893,0.1503017614618776,-0.36361221221385587,50546.527188139466,0,Low-Growth
South Korea,1984,East Asia,0,1,0,4.90425183324521,24.214516623154296,53.91916912827258,21.866314248573126,0.3417308762558837,0.5544024995470982,1.5221207196784718,55.01372558042506,15.681922557525109,30.542381864942183,19.175071530586088,14.633448521083272,51.82914962281311,-1.7025836042378404,1.0291556373256436,50836.29874120652,1,High-Growth
South Korea,1985,East Asia,0,1,0,8.81411081170296,48.32379555570061,57.17244078021756,2.0,3.6817484626632906,0.3980634549896448,0.7502177067651854,51.3913657531625,24.141272163752983,31.85640467116336,19.12060058686247,31.358442366698977,46.21090189555492,-1.4066610968482223,-0.9232332461109043,49949.15769719183,1,High-Growth
South Korea,1986,East Asia,0,1,0,5.840779562468427,27.404808889344455,76.5885847780487,2.0,0.9866358017617785,0.6257254185542311,0.4699706637825438,62.70464819113487,15.394897390097809,53.050245366134035,33.360507229612764,21.397346472698842,82.13290893775091,-0.7031764251258874,-0.0349884904969617,51535.40031781775,1,High-Growth
South Korea,1987,East Asia,0,1,0,7.851255192525974,40.662015483643806,38.25039868926879,21.087585827087402,1.264815478111042,0.7518831674440095,2.246171954660636,29.846629201643154,14.182902593401051,43.812034111212384,17.55339942539972,37.57716807508932,35.444928940318775,-1.3353443587101013,0.3801978510059632,50980.29287264191,1,High-Growth
South Korea,1988,East Asia,0,1,0,9.720647208159532,41.67137723639123,50.51016095074124,7.8184618128675325,0.14033142291729406,0.3648558599726013,2.015541862959103,57.715315307446666,22.172630697562987,18.081285604492265,11.513660757550426,42.11436775687643,45.15945427750747,0.6815006973726244,0.028318376130461172,50714.87806974787,1,High-Growth
South Korea,1989,East Asia,0,1,0,8.271642422613933,35.76896621552787,39.45269653553949,24.778337248932644,0.8689924548646312,0.5756241814797042,1.7665605259604553,48.61877067504784,30.046049004588166,27.634817444512404,16.878770135031846,25.46942789895684,44.07050378674226,0.19655477651157463,1.0318445394686349,49982.21981348151,1,High-Growth
South Korea,1990,East Asia,0,1,0,8.702071858108303,35.6582719142034,57.78576450078421,6.5559635850123925,0.46542309979925567,0.841402116027837,4.2586777483431,51.55742159340512,16.435979828793826,86.33461192794252,27.477432874384274,24.797760527102916,48.3650655818505,-0.2817846088605072,-1.344450511034277,50290.6740267579,1,High-Growth
South Korea,1991,East Asia,0,1,0,3.0379517354636376,34.72252090090575,47.81057679043825,17.466902308656003,4.601000985628154,0.4882468938891814,2.6811868781719004,54.99016733661737,19.604290322780535,66.8704873041651,11.263667870626207,30.433662801641752,44.22324552380068,0.4924512640081491,0.2891686439078181,52002.650069955445,0,Low-Growth
